data	przyjechali	wyjechali
2023-01-01	528	484
2023-01-02	641	625
2023-01-03	352	603
2023-01-04	342	412
2023-01-05	497	326
2023-01-06	334	442
2023-01-07	455	460
2023-01-08	433	571
2023-01-09	457	615
2023-01-10	635	532
2023-01-11	389	468
2023-01-12	662	669
2023-01-13	670	406
2023-01-14	557	435
2023-01-15	305	522
2023-01-16	317	685
2023-01-17	405	345
2023-01-18	631	256
2023-01-19	606	532
2023-01-20	300	551
2023-01-21	685	536
2023-01-22	418	477
2023-01-23	621	540
2023-01-24	392	529
2023-01-25	511	430
2023-01-26	427	223
2023-01-27	576	531
2023-01-28	548	645
2023-01-29	612	581
2023-01-30	317	636
2023-01-31	603	442
2023-02-01	604	413
2023-02-02	533	684
2023-02-03	419	576
2023-02-04	387	350
2023-02-05	358	342
2023-02-06	574	383
2023-02-07	684	638
2023-02-08	534	424
2023-02-09	309	649
2023-02-10	304	578
2023-02-11	432	358
2023-02-12	516	435
2023-02-13	482	339
2023-02-14	549	402
2023-02-15	696	473
2023-02-16	502	337
2023-02-17	664	398
2023-02-18	339	417
2023-02-19	348	638
2023-02-20	447	665
2023-02-21	453	612
2023-02-22	474	493
2023-02-23	575	620
2023-02-24	363	417
2023-02-25	544	494
2023-02-26	343	399
2023-02-27	343	538
2023-02-28	618	663
2023-03-01	582	422
2023-03-02	409	545
2023-03-03	393	400
2023-03-04	352	485
2023-03-05	313	475
2023-03-06	318	361
2023-03-07	578	502
2023-03-08	669	378
2023-03-09	371	392
2023-03-10	476	633
2023-03-11	680	300
2023-03-12	644	359
2023-03-13	559	647
2023-03-14	648	536
2023-03-15	400	676
2023-03-16	469	386
2023-03-17	635	620
2023-03-18	521	623
2023-03-19	504	401
2023-03-20	518	482
2023-03-21	648	631
2023-03-22	349	680
2023-03-23	422	608
2023-03-24	506	447
2023-03-25	499	448
2023-03-26	515	572
2023-03-27	467	496
2023-03-28	432	433
2023-03-29	558	302
2023-03-30	331	403
2023-03-31	330	339
2023-04-01	540	467
2023-04-02	360	520
2023-04-03	653	665
2023-04-04	455	502
2023-04-05	689	410
2023-04-06	398	526
2023-04-07	374	413
2023-04-08	390	596
2023-04-09	545	596
2023-04-10	402	395
2023-04-11	490	548
2023-04-12	664	563
2023-04-13	570	437
2023-04-14	621	602
2023-04-15	627	562
2023-04-16	516	553
2023-04-17	623	641
2023-04-18	374	414
2023-04-19	456	452
2023-04-20	482	419
2023-04-21	306	377
2023-04-22	458	325
2023-04-23	449	364
2023-04-24	435	471
2023-04-25	372	570
2023-04-26	622	341
2023-04-27	670	551
2023-04-28	543	682
2023-04-29	596	629
2023-04-30	612	399
2023-05-01	596	641
2023-05-02	657	335
2023-05-03	474	450
2023-05-04	618	439
2023-05-05	326	395
2023-05-06	460	362
2023-05-07	517	427
2023-05-08	558	689
2023-05-09	418	307
2023-05-10	565	428
2023-05-11	517	428
2023-05-12	580	569
2023-05-13	573	528
2023-05-14	627	642
2023-05-15	407	620
2023-05-16	631	424
2023-05-17	338	382
2023-05-18	457	476
2023-05-19	448	346
2023-05-20	408	517
2023-05-21	483	322
2023-05-22	498	654
2023-05-23	503	552
2023-05-24	474	646
2023-05-25	422	634
2023-05-26	474	606
2023-05-27	407	674
2023-05-28	697	546
2023-05-29	603	564
2023-05-30	561	670
2023-05-31	426	642
2023-06-01	438	506
2023-06-02	580	543
2023-06-03	423	645
2023-06-04	392	622
2023-06-05	317	513
2023-06-06	301	371
2023-06-07	326	486
2023-06-08	493	330
2023-06-09	485	640
2023-06-10	310	501
2023-06-11	538	356
2023-06-12	480	464
2023-06-13	662	476
2023-06-14	512	424
2023-06-15	374	330
2023-06-16	408	618
2023-06-17	637	308
2023-06-18	573	334
2023-06-19	567	386
2023-06-20	436	366
2023-06-21	699	503
2023-06-22	504	467
2023-06-23	572	575
2023-06-24	471	653
2023-06-25	664	608
2023-06-26	611	550
2023-06-27	322	443
2023-06-28	569	548
2023-06-29	641	419
2023-06-30	575	413
2023-07-01	336	570
2023-07-02	461	381
2023-07-03	667	520
2023-07-04	303	498
2023-07-05	568	567
2023-07-06	391	599
2023-07-07	550	561
2023-07-08	373	469
2023-07-09	480	592
2023-07-10	643	422
2023-07-11	353	641
2023-07-12	679	301
2023-07-13	523	696
2023-07-14	341	555
2023-07-15	691	608
2023-07-16	428	381
2023-07-17	597	695
2023-07-18	667	401
2023-07-19	579	541
2023-07-20	607	318
2023-07-21	674	595
2023-07-22	643	494
2023-07-23	446	524
2023-07-24	539	567
2023-07-25	659	617
2023-07-26	499	671
2023-07-27	573	514
2023-07-28	573	604
2023-07-29	416	527
2023-07-30	675	528
2023-07-31	444	354
2023-08-01	560	613
2023-08-02	321	420
2023-08-03	581	570
2023-08-04	312	650
2023-08-05	574	515
2023-08-06	697	679
2023-08-07	517	652
2023-08-08	523	534
2023-08-09	419	437
2023-08-10	509	658
2023-08-11	479	596
2023-08-12	440	688
2023-08-13	571	421
2023-08-14	532	522
2023-08-15	455	428
2023-08-16	521	505
2023-08-17	416	333
2023-08-18	476	356
2023-08-19	340	467
2023-08-20	572	423
2023-08-21	689	378
2023-08-22	531	451
2023-08-23	397	345
2023-08-24	535	298
2023-08-25	366	317
2023-08-26	318	325
2023-08-27	648	302
2023-08-28	338	305
2023-08-29	365	661
2023-08-30	459	523
2023-08-31	317	420
2023-09-01	650	658
2023-09-02	397	612
2023-09-03	599	518
2023-09-04	515	599
2023-09-05	455	610
2023-09-06	600	414
2023-09-07	340	489
2023-09-08	376	419
2023-09-09	385	675
2023-09-10	512	654
2023-09-11	535	684
2023-09-12	413	689
2023-09-13	681	378
2023-09-14	335	399
2023-09-15	393	569
2023-09-16	577	336
2023-09-17	510	633
2023-09-18	313	659
2023-09-19	439	424
2023-09-20	372	535
2023-09-21	614	511
2023-09-22	584	388
2023-09-23	437	394
2023-09-24	361	394
2023-09-25	364	563
2023-09-26	499	327
2023-09-27	459	444
2023-09-28	601	489
2023-09-29	498	419
2023-09-30	480	421
2023-10-01	543	340
2023-10-02	544	572
2023-10-03	453	420
2023-10-04	530	373
2023-10-05	576	509
2023-10-06	464	394
2023-10-07	451	328
2023-10-08	626	524
2023-10-09	661	422
2023-10-10	520	422
2023-10-11	585	372
2023-10-12	540	309
2023-10-13	627	354
2023-10-14	520	532
2023-10-15	581	491
2023-10-16	687	530
2023-10-17	362	516
2023-10-18	520	345
2023-10-19	471	505
2023-10-20	370	376
2023-10-21	579	482
2023-10-22	471	415
2023-10-23	674	528
2023-10-24	612	490
2023-10-25	352	438
2023-10-26	350	324
2023-10-27	587	431
2023-10-28	343	620
2023-10-29	329	573
2023-10-30	368	667
2023-10-31	341	638
2023-11-01	334	672
2023-11-02	371	643
2023-11-03	620	648
2023-11-04	694	691
2023-11-05	355	548
2023-11-06	403	456
2023-11-07	522	550
2023-11-08	677	619
2023-11-09	591	413
2023-11-10	420	540
2023-11-11	556	665
2023-11-12	369	691
2023-11-13	350	557
2023-11-14	575	506
2023-11-15	386	531
2023-11-16	418	471
2023-11-17	615	331
2023-11-18	634	678
2023-11-19	501	443
2023-11-20	523	603
2023-11-21	445	684
2023-11-22	664	304
2023-11-23	663	479
2023-11-24	606	360
2023-11-25	575	550
2023-11-26	517	454
2023-11-27	467	652
2023-11-28	343	389
2023-11-29	419	645
2023-11-30	659	527
2023-12-01	592	328
2023-12-02	312	693
2023-12-03	369	497
2023-12-04	615	656
2023-12-05	531	493
2023-12-06	534	433
2023-12-07	508	304
2023-12-08	500	375
2023-12-09	406	506
2023-12-10	530	360
2023-12-11	322	508
2023-12-12	581	369
2023-12-13	447	494
2023-12-14	397	679
2023-12-15	570	485
2023-12-16	509	401
2023-12-17	424	358
2023-12-18	317	423
2023-12-19	478	401
2023-12-20	623	419
2023-12-21	511	557
2023-12-22	420	350
2023-12-23	609	343
2023-12-24	607	421
2023-12-25	492	366
2023-12-26	480	382
2023-12-27	554	342
2023-12-28	655	526
2023-12-29	502	507
2023-12-30	631	655
2023-12-31	502	302
