data	nazwa_obszaru	masa [kg]	zawartosc [%]
2033-03-03	Cebrenia	27,8	0,2
2033-03-04	Amenthes	11,8	1,7
2033-03-05	Noachis	21,0	6,0
2033-03-06	Coprates	26,3	11,4
2033-03-07	Ismenius Lacus	28,8	0,0
2033-03-08	Mare Boreum	29,2	0,0
2033-03-09	Iapygia	25,6	28,7
2033-03-10	Amazonis	10,1	7,7
2033-03-11	Sinus Sabaeus	14,6	0,0
2033-03-12	Eridania	11,5	1,9
2033-03-13	Mare Boreum	15,2	0,0
2033-03-14	Iapygia	10,2	13,3
2033-03-15	Arabia	20,4	4,6
2033-03-16	Arabia	13,6	8,0
2033-03-17	Phoenicis Lacus	11,0	11,6
2033-03-18	Oxia Palus	14,1	0,0
2033-03-19	Iapygia	19,2	0,0
2033-03-20	Iapygia	20,7	0,0
2033-03-21	Lunae Palus	29,5	2,1
2033-03-22	Amazonis	24,4	10,1
2033-03-23	Memnonia	15,6	6,6
2033-03-24	Mare Boreum	22,7	2,9
2033-03-25	Phoenicis Lacus	15,1	0,0
2033-03-26	Tharsis	14,1	0,8
2033-03-27	Coprates	24,9	2,2
2033-03-28	Elysium	14,8	0,0
2033-03-29	Arabia	18,8	0,0
2033-03-30	Phoenicis Lacus	29,3	8,0
2033-03-31	Margaritifer Sinus	29,4	2,4
2033-04-01	Mare Acidalium	16,8	2,9
2033-04-02	Sinus Sabaeus	21,4	6,3
2033-04-03	Coprates	23,9	0,0
2033-04-04	Sinus Sabaeus	26,7	0,0
2033-04-05	Coprates	12,4	0,0
2033-04-06	Sinus Sabaeus	10,4	10,7
2033-04-07	Mare Boreum	17,9	0,0
2033-04-08	Elysium	17,4	1,6
2033-04-09	Amazonis	29,4	21,7
2033-04-10	Tharsis	22,9	26,9
2033-04-11	Tharsis	18,9	11,3
2033-04-12	Amenthes	23,5	0,0
2033-04-13	Memnonia	13,4	14,2
2033-04-14	Elysium	18,9	1,5
2033-04-15	Lunae Palus	13,5	1,4
2033-04-16	Amenthes	17,7	5,9
2033-04-17	Amazonis	24,7	0,0
2033-04-18	Memnonia	25,6	1,9
2033-04-19	Mare Acidalium	18,4	0,0
2033-04-20	Aeolis	27,0	0,0
2033-04-21	Iapygia	16,0	0,0
2033-04-22	Coprates	18,6	7,4
2033-04-23	Iapygia	12,7	30,8
2033-04-24	Tharsis	14,5	0,0
2033-04-25	Argyre	12,2	3,5
2033-04-26	Syrtis Major	19,9	0,0
2033-04-27	Arcadia	28,1	5,3
2033-04-28	Iapygia	27,7	45,3
2033-04-29	Amenthes	14,6	5,2
2033-04-30	Memnonia	10,8	0,0
2033-05-01	Casius	12,4	3,2
2033-05-02	Iapygia	25,2	0,0
2033-05-03	Iapygia	28,9	0,0
2033-05-04	Tharsis	13,2	23,3
2033-05-05	Iapygia	27,9	0,0
2033-05-06	Coprates	10,9	3,5
2033-05-07	Phoenicis Lacus	25,5	20,0
2033-05-08	Mare Boreum	26,0	0,0
2033-05-09	Syrtis Major	25,8	0,1
2033-05-10	Arabia	17,5	0,5
2033-05-11	Iapygia	17,8	3,3
2033-05-12	Iapygia	17,5	0,0
2033-05-13	Eridania	16,1	0,0
2033-05-14	Amenthes	11,8	7,0
2033-05-15	Phoenicis Lacus	26,2	0,0
2033-05-16	Noachis	28,8	2,9
2033-05-17	Iapygia	18,7	0,0
2033-05-18	Memnonia	10,3	9,2
2033-05-19	Noachis	29,8	3,4
2033-05-20	Iapygia	26,2	32,3
2033-05-21	Tharsis	13,8	15,9
2033-05-22	Tharsis	22,4	24,5
2033-05-23	Tharsis	24,5	0,9
2033-05-24	Thaumasia	23,1	0,3
2033-05-25	Syrtis Major	29,8	0,0
2033-05-26	Cebrenia	11,2	0,0
2033-05-27	Tharsis	18,7	0,0
2033-05-28	Memnonia	11,4	8,1
2033-05-29	Eridania	21,3	13,4
2033-05-30	Amenthes	24,5	2,6
2033-05-31	Tharsis	20,0	13,2
2033-06-01	Iapygia	28,4	12,0
2033-06-02	Amazonis	14,8	10,1
2033-06-03	Mare Australe	27,9	0,6
2033-06-04	Sinus Sabaeus	19,9	9,8
2033-06-05	Tharsis	22,5	0,0
2033-06-06	Ismenius Lacus	21,6	4,9
2033-06-07	Iapygia	28,1	0,0
2033-06-08	Sinus Sabaeus	21,5	8,6
2033-06-09	Arabia	22,7	0,1
2033-06-10	Iapygia	27,4	21,8
2033-06-11	Tharsis	18,3	17,3
2033-06-12	Tharsis	29,0	27,3
2033-06-13	Memnonia	18,1	0,0
2033-06-14	Elysium	16,4	1,1
2033-06-15	Noachis	21,8	0,0
2033-06-16	Mare Australe	27,2	0,0
2033-06-17	Mare Acidalium	21,2	0,0
2033-06-18	Tharsis	17,7	13,9
2033-06-19	Mare Acidalium	10,6	6,9
2033-06-20	Casius	10,4	1,1
2033-06-21	Iapygia	15,8	7,1
2033-06-22	Mare Boreum	19,9	10,8
2033-06-23	Amazonis	13,0	0,0
2033-06-24	Coprates	28,1	15,0
2033-06-25	Sinus Sabaeus	22,5	8,6
2033-06-26	Tharsis	14,0	36,1
2033-06-27	Iapygia	10,6	18,4
2033-06-28	Aeolis	22,3	0,0
2033-06-29	Tharsis	14,5	26,0
2033-06-30	Amenthes	21,0	1,7
2033-07-01	Cebrenia	17,7	0,4
2033-07-02	Coprates	24,3	9,7
2033-07-03	Phoenicis Lacus	18,8	6,4
2033-07-04	Eridania	15,9	5,2
2033-07-05	Coprates	26,1	0,0
2033-07-06	Tharsis	29,4	8,8
2033-07-07	Eridania	10,5	14,5
2033-07-08	Diacria	18,1	0,0
2033-07-09	Phoenicis Lacus	20,6	0,0
2033-07-10	Phoenicis Lacus	17,1	0,0
2033-07-11	Mare Acidalium	17,0	0,3
2033-07-12	Aeolis	14,7	2,3
2033-07-13	Phoenicis Lacus	21,7	0,0
2033-07-14	Oxia Palus	12,5	0,0
2033-07-15	Ismenius Lacus	17,8	4,1
2033-07-16	Iapygia	28,9	38,7
2033-07-17	Amazonis	21,0	3,5
2033-07-18	Margaritifer Sinus	13,0	0,1
2033-07-19	Iapygia	23,1	0,0
2033-07-20	Phoenicis Lacus	28,5	0,0
2033-07-21	Phoenicis Lacus	12,8	0,0
2033-07-22	Hellas	26,8	0,0
2033-07-23	Iapygia	15,1	24,8
2033-07-24	Memnonia	14,4	13,5
2033-07-25	Amazonis	29,2	15,7
2033-07-26	Iapygia	28,9	47,2
2033-07-27	Elysium	18,4	3,9
2033-07-28	Lunae Palus	26,2	4,0
2033-07-29	Iapygia	14,3	45,1
2033-07-30	Coprates	14,5	0,0
2033-07-31	Iapygia	18,6	5,5
2033-08-01	Coprates	26,3	14,5
2033-08-02	Mare Tyrrhenum	25,9	0,7
2033-08-03	Sinus Sabaeus	29,8	0,0
2033-08-04	Iapygia	18,3	18,7
2033-08-05	Sinus Sabaeus	24,5	6,7
2033-08-06	Tharsis	18,7	0,0
2033-08-07	Tharsis	29,2	34,9
2033-08-08	Mare Boreum	21,4	10,7
2033-08-09	Phoenicis Lacus	25,6	3,1
2033-08-10	Phoenicis Lacus	15,7	5,1
2033-08-11	Noachis	27,3	11,0
2033-08-12	Syrtis Major	28,4	2,7
2033-08-13	Amazonis	22,0	3,3
2033-08-14	Ismenius Lacus	19,4	0,0
2033-08-15	Phoenicis Lacus	22,7	14,8
2033-08-16	Coprates	22,6	16,5
2033-08-17	Lunae Palus	26,1	0,0
2033-08-18	Phoenicis Lacus	27,6	6,7
2033-08-19	Sinus Sabaeus	13,2	0,0
2033-08-20	Margaritifer Sinus	22,0	0,0
2033-08-21	Mare Boreum	10,8	7,6
2033-08-22	Iapygia	15,6	38,4
2033-08-23	Arcadia	11,7	0,5
2033-08-24	Iapygia	27,2	8,3
2033-08-25	Iapygia	24,7	28,9
2033-08-26	Amazonis	18,2	12,5
2033-08-27	Amazonis	14,6	17,9
2033-08-28	Amazonis	16,5	13,9
2033-08-29	Memnonia	29,4	0,0
2033-08-30	Iapygia	17,9	0,0
2033-08-31	Lunae Palus	29,8	0,0
2033-09-01	Cebrenia	18,7	0,0
2033-09-02	Sinus Sabaeus	24,3	7,8
2033-09-03	Eridania	29,3	4,6
2033-09-04	Coprates	18,4	0,0
2033-09-05	Coprates	10,3	16,0
2033-09-06	Iapygia	27,5	0,0
2033-09-07	Coprates	20,6	15,7
2033-09-08	Amazonis	21,3	0,0
2033-09-09	Tharsis	26,2	0,0
2033-09-10	Iapygia	23,9	0,0
2033-09-11	Casius	26,6	1,6
2033-09-12	Iapygia	18,6	20,4
2033-09-13	Memnonia	22,3	1,7
2033-09-14	Lunae Palus	18,4	3,9
2033-09-15	Casius	28,0	4,4
2033-09-16	Iapygia	10,9	32,9
2033-09-17	Tharsis	25,1	33,3
2033-09-18	Thaumasia	10,7	0,3
2033-09-19	Iapygia	26,1	31,0
2033-09-20	Amazonis	15,2	12,7
2033-09-21	Arabia	28,8	4,3
2033-09-22	Arcadia	10,3	0,0
2033-09-23	Noachis	14,9	0,1
2033-09-24	Iapygia	11,3	0,0
2033-09-25	Iapygia	20,8	34,9
