nr_lazika	data_pomiaru	kod_obszaru	wspolrzedne	glebokosc	ilosc
17	2061-06-03	MC-13	13.17N, 77.80E	344	5622
17	2056-06-02	MC-14	14.93N, 106.00E	43	2054
47	2075-10-18	MC-05	45.57N, 3.30E	9	23366
27	2059-08-23	MC-29	53.79S, 121.01E	169	72463
19	2058-10-24	MC-07	42.75N, 158.49E	96	3022
101	2072-07-30	MC-07	40.88N, 162.15E	1270	2461
12	2058-10-24	MC-09	6.42N, 119.66W	45	3764
82	2072-02-17	MC-23	21.38S, 171.49E	137	8000
7	2056-12-27	MC-04	37.86N, 40.31W	163	6006
79	2076-02-14	MC-06	36.31N, 103.41E	252	4902
2	2052-09-14	MC-22	11.95S, 122.63E	124	1788
39	2067-07-17	MC-24	47.29S, 178.82W	482	3313
22	2055-01-06	MC-12	27.63N, 36.90E	128	6832
42	2070-09-17	MC-15	22.21N, 175.94E	88	4076
61	2074-02-21	MC-26	56.95S, 10.43W	103	19313
41	2069-09-29	MC-05	52.72N, 33.24E	221	45837
51	2065-05-28	MC-26	62.33S, 44.07W	128	6205
10	2056-10-30	MC-19	29.56S, 43.00W	39	14025
28	2060-10-18	MC-26	64.01S, 43.55W	631	29243
5	2055-07-23	MC-12	8.68N, 43.52E	241	5255
55	2072-02-05	MC-15	19.54N, 141.26E	416	7512
27	2064-01-13	MC-30	66.36S, 93.62E	137	5255
56	2072-09-01	MC-25	44.94S, 80.74W	447	5622
53	2067-11-21	MC-24	58.94S, 178.97W	75	5622
8	2056-03-26	MC-27	39.62S, 8.55E	50	2188
66	2069-11-25	MC-15	23.02N, 153.14E	163	5255
19	2057-06-25	MC-07	44.02N, 171.05E	65	5076
53	2066-10-10	MC-30	71.57S, 164.73W	41	2188
60	2072-04-24	MC-26	33.31S, 39.83W	264	14551
64	2068-01-08	MC-28	62.19S, 75.08E	59	14551
88	2072-06-25	MC-19	7.66S, 21.47W	120	1526
69	2074-02-07	MC-01	75.21N, 170.64E	572	63326
44	2067-02-17	MC-07	47.52N, 132.85E	29	9074
86	2074-07-25	MC-07	59.66N, 139.08E	52	7512
20	2059-12-26	MC-28	59.70S, 75.27E	204	7052
69	2074-10-15	MC-07	56.50N, 169.58E	157	2880
31	2067-03-13	MC-01	70.55N, 70.70W	93	8000
47	2068-12-04	MC-04	45.57N, 29.74W	82	1267
44	2067-06-11	MC-06	64.10N, 118.82E	63	5436
58	2070-11-10	MC-26	62.65S, 4.75W	67	6205
94	2071-07-26	MC-29	63.63S, 151.88E	11	2739
35	2064-12-28	MC-17	1.50S, 110.31W	82	1526
23	2055-03-29	MC-16	19.75S, 164.61W	88	1656
35	2062-06-14	MC-17	24.07S, 92.99W	133	3022
6	2054-11-20	MC-01	85.59N, 139.95E	188	56210
29	2059-07-14	MC-16	26.72S, 157.74W	133	5812
55	2067-05-24	MC-07	45.85N, 147.96E	702	4235
99	2072-10-11	MC-05	37.11N, 4.22E	292	7512
50	2066-02-11	MC-15	23.36N, 152.33E	47	5812
26	2059-04-11	MC-28	49.85S, 71.88E	19	3022
95	2072-09-10	MC-17	8.12S, 101.17W	231	3022
4	2053-11-23	MC-19	25.80S, 21.86W	12	13527
65	2069-09-01	MC-11	8.06N, 8.70W	85	2054
47	2075-09-08	MC-12	13.91N, 1.51E	307	3167
32	2063-05-07	MC-25	43.58S, 83.86W	9	2188
75	2073-05-22	MC-28	40.27S, 103.84E	264	11011
42	2069-11-29	MC-07	36.18N, 172.83E	100	18486
51	2066-03-13	MC-26	57.85S, 49.61W	221	23366
31	2065-07-06	MC-01	82.61N, 96.51W	22	33322
33	2060-12-22	MC-01	67.23N, 47.21E	100	3022
69	2069-12-07	MC-01	77.78N, 171.50E	50	33322
69	2075-03-23	MC-07	48.41N, 144.07E	631	20205
27	2063-01-01	MC-30	74.01S, 95.91E	20	14551
85	2074-09-26	MC-14	9.77N, 111.16E	57	2739
66	2072-01-04	MC-14	3.29N, 133.30E	47	2188
73	2073-10-15	MC-30	69.47S, 79.73W	72	31157
48	2067-01-31	MC-07	53.83N, 129.91E	277	21171
47	2068-03-11	MC-04	47.48N, 35.67W	27	1010
95	2069-05-03	MC-10	27.53N, 66.12W	169	6832
47	2067-10-13	MC-04	33.46N, 41.15W	15	756
44	2068-05-20	MC-01	87.89N, 147.96E	36	45837
99	2075-12-23	MC-12	14.48N, 22.79E	128	4731
72	2073-07-20	MC-17	28.76S, 124.65W	524	8519
42	2067-04-12	MC-15	29.72N, 137.26E	36	4731
18	2059-04-14	MC-16	15.15S, 179.43W	67	7752
61	2071-06-21	MC-30	88.77S, 41.42W	61	5812
43	2065-01-24	MC-09	3.44N, 113.17W	212	4235
94	2067-11-25	MC-30	66.92S, 160.00E	36	5255
77	2077-04-08	MC-28	36.34S, 96.54E	181	1788
89	2073-02-15	MC-25	52.46S, 90.42W	252	2054
31	2061-01-26	MC-03	51.59N, 113.49W	157	1010
55	2070-06-13	MC-07	33.27N, 159.24E	11	629
61	2072-01-12	MC-30	74.69S, 19.73W	75	7752
52	2073-07-09	MC-09	11.53N, 133.97W	61	3313
54	2067-10-08	MC-14	21.43N, 114.98E	365	1526
59	2070-05-15	MC-28	41.21S, 110.23E	96	8255
31	2063-07-14	MC-03	53.52N, 93.06W	63	2324
63	2068-03-17	MC-30	71.70S, 123.32E	196	4731
34	2061-01-14	MC-06	34.22N, 100.25E	1057	5076
54	2068-02-10	MC-14	3.17N, 130.43E	57	7512
83	2070-02-27	MC-06	56.93N, 77.16E	32	8255
56	2069-09-18	MC-18	29.36S, 67.24W	41	2599
86	2072-12-26	MC-07	52.81N, 144.34E	77	8519
50	2066-03-14	MC-15	13.98N, 145.69E	34	6409
9	2058-04-11	MC-27	33.63S, 9.19E	93	4563
42	2065-08-20	MC-15	12.92N, 139.46E	75	3022
27	2055-10-21	MC-30	75.67S, 104.00E	702	2461
82	2072-07-22	MC-29	58.52S, 176.05E	39	2188
33	2061-05-15	MC-01	73.59N, 35.87E	157	22220
11	2056-08-22	MC-30	76.27S, 33.89W	152	5255
75	2075-08-13	MC-28	43.95S, 101.08E	61	5436
76	2075-12-25	MC-07	40.43N, 176.28E	241	4076
52	2073-11-17	MC-09	28.97N, 120.41W	277	10654
87	2072-09-19	MC-26	52.92S, 43.79W	702	1396
35	2063-06-14	MC-17	10.67S, 101.85W	109	4902
19	2058-11-17	MC-07	36.04N, 158.47E	41	4731
66	2071-08-07	MC-15	6.44N, 164.92E	137	883
61	2073-12-06	MC-30	69.46S, 5.84W	231	17000
89	2077-10-02	MC-25	44.43S, 111.56W	702	8791
35	2062-11-07	MC-17	25.67S, 113.49W	80	3461
40	2064-08-25	MC-23	25.96S, 151.59E	169	11011
61	2071-09-12	MC-30	66.92S, 35.65W	447	3022
82	2072-08-27	MC-29	32.46S, 152.33E	169	1526
3	2052-11-27	MC-24	42.93S, 121.66W	482	1267
44	2072-06-28	MC-06	40.33N, 107.44E	32	1396
60	2069-12-30	MC-26	63.72S, 16.39W	24	4235
72	2072-01-08	MC-17	28.25S, 109.03W	109	14025
14	2056-01-29	MC-11	8.73N, 27.98W	103	756
1	2050-09-08	MC-06	43.54N, 63.10E	133	21171
5	2061-01-23	MC-13	4.32N, 56.30E	120	2324
62	2067-06-27	MC-20	4.04S, 44.29E	188	5255
36	2062-07-08	MC-16	5.56S, 143.18W	70	1396
100	2072-05-24	MC-24	56.67S, 145.69W	17	2599
90	2074-06-25	MC-24	60.04S, 154.89W	157	7512
10	2055-08-01	MC-25	36.64S, 77.20W	70	15109
100	2075-01-29	MC-24	58.19S, 143.13W	43	2739
44	2066-11-25	MC-06	44.93N, 118.41E	67	5076
100	2075-01-02	MC-30	67.51S, 150.40W	17	56210
12	2056-07-29	MC-17	6.46S, 125.12W	231	4235
6	2054-03-25	MC-01	88.93N, 146.35E	524	35789
96	2068-10-03	MC-01	75.40N, 176.79W	70	2054
94	2068-11-08	MC-29	33.15S, 163.79E	137	9670
67	2069-01-06	MC-26	47.16S, 52.46W	221	8519
